#lambda    flux1    flux2    flux3    flux4
4389.04   0.0245   0.0154   0.0115   0.0028
4390.07   0.0246   0.0159   0.0119   0.0062
4391.09   0.0247   0.0163   0.0107   0.0049
4392.12   0.0247   0.0162   0.0106   0.0052
4393.14   0.0247   0.0165   0.0128   0.0074
4394.17   0.0243   0.0164   0.0125  -0.0029
4395.20   0.0236   0.0172   0.0129  -0.0220
4396.22   0.0234   0.0177   0.0158  -0.0242
4397.25   0.0239   0.0152   0.0171  -0.0041
4398.27   0.0245   0.0151   0.0161   0.0120
4399.30   0.0244   0.0162   0.0124  -0.0026
4400.33   0.0238   0.0174   0.0091  -0.0247
4401.36   0.0236   0.0178   0.0080  -0.0318
4402.38   0.0240   0.0166   0.0094  -0.0189
4403.41   0.0244   0.0154   0.0126  -0.0034
4404.44   0.0242   0.0161   0.0136   0.0010
4405.47   0.0238   0.0172   0.0159  -0.0010
4406.50   0.0240   0.0161   0.0188   0.0058
4407.53   0.0244   0.0153   0.0167   0.0087
4408.56   0.0245   0.0167   0.0137   0.0004
4409.58   0.0245   0.0165   0.0135  -0.0044
4410.61   0.0246   0.0161   0.0139  -0.0000
4411.64   0.0246   0.0158   0.0156   0.0086
4412.67   0.0247   0.0151   0.0180   0.0113
